Murder,Assault,UrbanPop,Rape,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2,State
13.20,236,58,21.20,1,62.81468779,38.40429586,148.9097967,Alabama
10.00,191,48,44.50,0,33.60274574,85.55713406,108.6297303,Alaska
8.10,294,80,31.00,1,120.5423343,24.80524109,208.1684605,Arizona
8.80,190,60,19.50,0,18.21380292,82.91206873,102.7016263,Arkansas
9.00,276,91,40.60,1,105.6409308,25.01473709,192.9184137,California
7.90,204,78,38.70,0,34.77024977,69.27406812,120.475944,Colorado
3.30,110,77,11.10,2,66.23652271,163.014324,28.4790508,Connecticut
8.33,238,72,15.80,1,64.3182949,36.03160308,151.0170244,Delaware
15.40,335,80,31.90,1,161.541305,64.16194179,249.1727524,Florida
17.40,228,76,25.80,1,55.11535799,44.50082424,142.4947484,Georgia
5.30,46,83,18.06,2,129.2681458,226.4598023,47.79380777,Hawaii
2.60,120,54,14.20,2,57.14682163,153.5600054,32.98956324,Idaho
10.40,249,83,24.00,1,76.21766543,26.384813,163.5386876,Illinois
7.20,113,65,21.00,2,61.41232779,159.1035408,27.0710933,Indiana
2.20,56,57,11.30,2,119.578913,217.0523401,31.84748344,Iowa
6.00,115,66,18.00,2,59.60953551,157.2730687,28.4884184,Kansas
6.18,109,52,16.30,2,67.66979674,164.3256727,23.00955201,Kentucky
15.40,208,70,22.20,0,34.567447,64.10245211,121.6843522,Louisiana
2.10,83,51,7.80,2,94.40074612,191.0797338,11.85910999,Maine
11.30,300,67,27.80,1,125.8482167,28.4126959,213.1380291,Maryland
4.40,149,51,16.30,0,31.64819465,125.0649266,62.11039334,Massachusetts
12.10,255,74,35.10,1,81.8507779,18.78441073,169.5542338,Michigan
2.70,72,66,14.90,2,102.8047375,200.4728719,16.83702121,Minnesota
16.10,259,44,17.10,1,88.71140048,31.32518721,172.6164926,Mississippi
9.00,178,70,28.20,0,6.261743565,93.85844023,92.24857759,Missouri
6.00,109,53,16.40,2,67.43216044,164.2168467,22.68690866,Montana
4.30,102,62,16.50,2,72.98064542,170.5468293,14.8249545,Nebraska
12.20,252,81,46.00,1,82.00729969,29.09621422,169.0566915,Nevada
2.10,57,56,9.50,2,118.893325,216.2695187,31.18152468,New Hampshire
7.40,159,89,18.80,0,26.25168057,114.769257,77.42030928,New Jersey
11.40,285,70,32.10,1,111.1216875,13.99397116,198.6700283,New Mexico
11.10,254,86,26.10,1,81.78649869,23.78299278,169.0807749,New York
13.00,337,45,16.10,1,164.6186289,70.88221553,250.0525504,North Carolina
0.80,45,44,7.30,2,132.7220483,229.5036911,45.99281793,North Dakota
7.30,120,75,21.40,2,54.74167403,152.0756472,36.73518536,Ohio
6.60,151,68,20.00,0,23.59486075,121.1883313,64.30653153,Oklahoma
4.90,159,67,29.30,0,16.67866326,113.1006233,73.41702761,Oregon
6.30,106,72,14.90,2,68.94665355,166.3950987,22.27128275,Pennsylvania
3.40,174,87,8.30,0,24.69561905,101.4432499,90.82960616,Rhode Island
14.40,279,48,22.50,1,106.8489927,24.09845699,192.2715074,South Carolina
3.80,86,45,12.80,2,92.00381469,188.2862671,14.88897435,South Dakota
13.20,188,59,26.90,0,17.5869505,84.57089404,101.6765565,Tennessee
12.70,201,80,25.50,0,29.62882775,71.48752826,116.1271756,Texas
3.20,120,80,18.78,2,55.96509213,152.6267051,38.54858716,Utah
2.20,48,32,11.20,2,132.0713741,227.8671609,48.43684151,Vermont
8.50,156,63,20.70,0,19.21108903,116.2931697,68.98728988,Virginia
4.00,145,73,19.12,0,30.28255713,127.3730467,59.17382509,Washington
5.70,81,39,9.30,2,98.79945732,194.3237773,22.33524158,West Virginia
2.60,53,66,10.80,2,122.0860408,219.6932987,35.29495758,Wisconsin
6.80,161,60,15.60,0,17.57279752,112.0510861,73.51604182,Wyoming
